ID,Item,Company,Quantity,Currency,Conversion Rate,ID (Items),Item Code (Items),Qty (Items),Rate (Items),UOM (Items)
,,,,,,uj6ul3vd35,Sparsh Grade 9,1,0,Nos
,,,,,,uj6v3qe4se,Sanchayan I,1,0,Nos
,,,,,,uj6er99ona,Computer applications by Sumita Arora Gr IX,1,0,Nos
,,,,,,uj65pl5279,Comprehensive Home Science for Class IX- Anju Chauhan,1,0,Nos
,,,,,,uj6cr90f0j,CM Crown 200 pages Single ruled,12,47.41,Nos
,,,,,,uj6fqatcq0,CM Crown 200 pages Maths ruled,6,47.41,Nos
,,,,,,uj6tp6uiu9,CM 50 Pages Plain Drawing Book,1,22.93,Nos
,,,,,,uj6k73sdcs,CM Long 50 Pages Graph Book,1,22.44,Nos
,,,,,,uj6ebgqj2n,CM 200 Pages OSR Single Ruled Record Book,2,68.36,Nos
,,,,,,uj6ri17tmk,CM 100 Pages OSR Single Ruled Record Book,2,42.4,Nos
,,,,,,uj666drc7t,CM Crown 100 pages Plain Book,1,22.5,Nos
,,,,,,uj6bt5bkpq,SAS Flat File,1,13.14,Nos
,,,,,,uj6gb3h57n,File Folder,1,4.43,Nos
,,,,,,uj6vonia7j,A4 Size Colour Paper Packet (25 sheets),1,19.42,Nos
,,,,,,uj6bg08hm8,Transparent Roll,1,33.75,Nos
,,,,,,uj61nqj7p1,SAS KS Label Sheet,1,4.24,Nos
,,,,,,uj6nk1qobl,Poster Paint (6 Shades),1,50,Nos
,,,,,,uj60pd2hc2,"Flat Brushes - Size 1,3,5,6",6,88.75,Nos
,,,,,,uj6fmdng97,A4 Size Plain Sheets (25 sheets),2,18.64,Nos
,,,,,,uj64qnak1i,Opendoor Thinking Assessment-SAS,2,480,Nos
,,,,,,uj62atpb13,Worksheet,1,300,Nos
,,,,,,uj6547utck,SAS KS Almanac,1,75,Nos
,,,,,,uj632g0r45,SAS KS Mini Almanac,1,12,Nos
,,,,,,uj67kgnovu,SAS KS ID Card,1,78,Nos
,,,,,,uj6odlrmfg,DSE KIT,1,0,Nos
BOM-SAS KS Grade 9 DSE Bookkit - (PA/MA/GS/SST)-001,SAS KS Grade 9 DSE Bookkit - (PA/MA/GS/SST),Inventre Edu Services Pvt Ltd,1,INR,1,plqj4omq44,Beehive,1,0,Nos
,,,,,,plqjni5gr5,Moments - English Suppl. Rdr,1,0,Nos
,,,,,,plquqpseqi,Words and Expressions 1,1,0,Nos
,,,,,,plqoku7knh,Maths text (RS Agarwal) 9,1,0,Nos
,,,,,,plqupnkese,Maths Textbook 9,1,0,Nos
,,,,,,plqo3g3nmb,Maths Lab Manual 9,1,251.6,Nos
,,,,,,plq9nj40po,Science Textbook 9,1,0,Nos
,,,,,,plqmhqbt3k,Science Exempler Problems 9,1,99,Nos
,,,,,,plq3n1bkgr,Laboratory Manual Science 9,1,389,Nos
,,,,,,plqg27ic47,Contemporary India - Geography Grade 9,1,0,Nos
,,,,,,plqc2n7vu9,India & Contemporary World History Grade 9,1,0,Nos
,,,,,,plqv24bk83,Democratic Politics Grade 9,1,0,Nos
,,,,,,plq3gevn24,Economics Textbook,1,0,Nos
,,,,,,plqpos19hm,Panoramic - Indian Painting 9,1,243,Nos
,,,,,,plq3vfmubu,CM Crown 200 pages Single ruled,12,47.41,Nos
,,,,,,plqijigvot,CM Crown 200 pages Maths ruled,6,47.41,Nos
,,,,,,plqs6aaqer,CM 50 Pages Plain Drawing Book,1,22.93,Nos
,,,,,,plq9chbtcm,CM Long 50 Pages Graph Book,1,22.44,Nos
,,,,,,plq6thk44l,CM 200 Pages OSR Single Ruled Record Book,2,68.36,Nos
,,,,,,plq990n8p3,CM 100 Pages OSR Single Ruled Record Book,2,42.4,Nos
,,,,,,plqhdvmejs,CM Crown 100 pages Plain Book,1,22.5,Nos
,,,,,,plqf4d2h73,SAS Flat File,1,13.14,Nos
,,,,,,plq7lsph27,File Folder,1,4.43,Nos
,,,,,,plqtkm4hsk,A4 Size Colour Paper Packet (25 sheets),1,19.42,Nos
,,,,,,plq6ioqmio,Transparent Roll,1,33.75,Nos
,,,,,,plq3feejli,SAS KS Label Sheet,1,4.24,Nos
,,,,,,plq8t6l1h9,Poster Paint (6 Shades),1,50,Nos
