ID,Item,Company,Quantity,Currency,Conversion Rate,ID (Items),Item Code (Items),Qty (Items),Rate (Items),UOM (Items)
,,,,,,nrrs53122a,Crown 200 pages Single ruled,11,38,Nos
,,,,,,nrrag4b6p2,Crown 100 pages Single ruled,1,20,Nos
,,,,,,nrrvpagsm7,50 Pages Plain Drawing Book,1,26,Nos
,,,,,,o5n8jbp5ml,CAGS Worksheets,1,300,Nos
,,,,,,o5np77h9ut,CAGS LR Almanac,1,75,Nos
,,,,,,o5nd81sf9c,CAGS LR CAIE Mini Almanac,1,0,Nos
,,,,,,o5n5g7vcb9,CAGS ID CARD,1,78,Nos
BOM-CAS LR CIE Grade 5 Partial Bookkit-001,CAS LR CIE Grade 5 Partial Bookkit,Inventre Edu Services Pvt Ltd,1,INR,1,mh0voog0nv,Language Enrichment Book 5,1,33.56,Nos
,,,,,,mh0t717tjq,Grooming Book 5,1,51,Nos
,,,,,,mh0f2k0op0,Sustainability WorkBook 5,1,29.83,Nos
,,,,,,mh00p7usdd,Crown 200 pages Single ruled,14,38,Nos
,,,,,,mh00ars75o,Crown 100 pages Single ruled,2,20,Nos
,,,,,,mh0d8oab6m,50 Pages Plain Drawing Book,1,26,Nos
,,,,,,mh00176rrs,CAGS Worksheets,1,300,Nos
,,,,,,mh0qur2pg4,CAGS LR Almanac,1,75,Nos
,,,,,,mh01kf4j40,CAGS LR CAIE Mini Almanac,1,0,Nos
,,,,,,mh021bon99,CAGS ID CARD,1,78,Nos
BOM-CAS LR CIE Grade 4 Partial Bookkit-001,CAS LR CIE Grade 4 Partial Bookkit,Inventre Edu Services Pvt Ltd,1,INR,1,l949lpkom3,Language Enrichment Book 4,1,34.58,Nos
,,,,,,l94hnd3bo7,Grooming Book 4,1,52.5,Nos
,,,,,,l94r7sbft2,Sustainability WorkBook 4,1,26.44,Nos
,,,,,,l94m0uminc,Crown 200 pages Single ruled,6,38,Nos
,,,,,,l94v5h84dm,Crown 200 Pages Medium Check Ruled,2,0,Nos
,,,,,,l941r4b9p5,Crown 200 Pages Double Ruled,2,0,Nos
,,,,,,l94b9cbqui,Crown 100 pages Single ruled,1,20,Nos
,,,,,,l94varq67n,50 Pages Plain Drawing Book,1,26,Nos
,,,,,,mqbr129tvq,CAGS Worksheets,1,300,Nos
,,,,,,mqb76jcute,CAGS LR Almanac,1,75,Nos
,,,,,,mqbupv3l9u,CAGS LR CAIE Mini Almanac,1,0,Nos
,,,,,,mqb1iq6gfn,CAGS ID CARD,1,78,Nos
BOM-CAS LR CIE Grade 3 Partial Bookkit-001,CAS LR CIE Grade 3 Partial Bookkit,Inventre Edu Services Pvt Ltd,1,INR,1,k2btji5kbi,Language Enrichment Book 3,1,35.42,Nos
,,,,,,k2bn60drpk,Grooming Book 3,1,48,Nos
,,,,,,k2bmbss28s,Sustainability WorkBook 3,1,25.76,Nos
,,,,,,k2beulf4i2,Crown 200 Pages Four Ruled,4,0,Nos
,,,,,,k2brcf1ib8,Crown 200 Pages Medium Check Ruled,2,0,Nos
,,,,,,k2bj0jshtq,Crown 200 Pages Double Ruled,2,0,Nos
,,,,,,k2bducfss4,Crown 200 pages Single ruled,2,38,Nos
,,,,,,k2bqmddbma,Crown 100 pages Single ruled,1,20,Nos
,,,,,,k2bk5r21pn,50 Pages Plain Drawing Book,1,26,Nos
,,,,,,k2bg9lp9kr,CAGS Worksheets,1,300,Nos
,,,,,,k2b2c75f05,CAGS LR Almanac,1,75,Nos
,,,,,,k2badtfklp,CAGS LR CAIE Mini Almanac,1,0,Nos
,,,,,,k2bsjjjp8r,CAGS ID CARD,1,78,Nos
BOM-CAS LR CIE Grade 2 Partial Bookkit-001,CAS LR CIE Grade 2 Partial Bookkit,Inventre Edu Services Pvt Ltd,1,INR,1,iddkr542pr,Language Enrichment Book 2,1,32.71,Nos
,,,,,,idd05kc97q,Grooming Book 2,1,47,Nos
,,,,,,idd7h5gr9n,Sustainability WorkBook 2,1,25,Nos
,,,,,,iddc3c5q51,Crown 200 Pages Four Ruled,4,0,Nos
,,,,,,idd0q5tgie,Crown 200 Pages Medium Check Ruled,2,0,Nos
,,,,,,iddcsmitqa,Crown 200 Pages Double Ruled,2,0,Nos
,,,,,,iddt1n4112,Crown 200 pages Single ruled,1,38,Nos
,,,,,,iddpvmdtlt,50 Pages Plain Drawing Book,1,26,Nos
,,,,,,iddqlooa7c,CAGS Worksheets,1,300,Nos
,,,,,,idd25fhb1o,CAGS LR Almanac,1,75,Nos
,,,,,,iddkat8a0s,CAGS LR CAIE Mini Almanac,1,0,Nos
,,,,,,iddcjg4t3v,CAGS ID CARD,1,78,Nos
BOM-CAS LR CIE Grade 1 Partial Bookkit-001,CAS LR CIE Grade 1 Partial Bookkit,Inventre Edu Services Pvt Ltd,1,INR,1,gsq3khoe8u,Language Enrichment Book 1,1,38.81,Nos
,,,,,,gsq1h3igre,Grooming Book 1,1,45.43496903,Nos
,,,,,,gsqdttpvt0,Sustainability WorkBook 1,1,15.73913044,Nos
,,,,,,gsqmbr78sl,Crown 200 Pages Four Ruled,2,0,Nos
,,,,,,gsq3na2vit,Crown 200 Pages Medium Check Ruled,2,0,Nos
,,,,,,gsqbs931r8,Crown 200 Pages Double Ruled,2,0,Nos
,,,,,,gsqt73lfa3,Crown 200 pages Single ruled,1,38,Nos
,,,,,,gsqqh7b3vt,50 Pages Plain Drawing Book,1,26,Nos
,,,,,,gsq8lctom6,CAGS Worksheets,1,300,Nos
,,,,,,gsqp09812c,CAGS LR Almanac,1,75,Nos
,,,,,,gsqjpnra92,CAGS LR CAIE Mini Almanac,1,0,Nos
,,,,,,gsqdurf7lt,CAGS ID CARD,1,78,Nos
BOM-TSUS MagicBox Boys Grade 11-001,TSUS MagicBox Boys Grade 11,Inventre Edu Services Pvt Ltd,1,INR,1,pknc2icdgj,Stripe Shirt,2,0,Nos
,,,,,,pkn7192r9b,Boys Pant,2,0,Nos
,,,,,,pkni67huut,Sports Polo,1,0,Nos
,,,,,,pkn504a3iu,Track Pant,1,0,Nos
,,,,,,pknj2muv4p,TSUSC1DS,3,0,Nos
,,,,,,pkn7p83mg7,TSUSC1DV,1,0,Nos
,,,,,,pkn1rpj7ef,Navy and Red Bag L,1,0,Nos
,,,,,,pkntoif0oa,TSUSC1EY,1,0,Nos
BOM-TSUS MagicBox Girls Grade 11-001,TSUS MagicBox Girls Grade 11,Inventre Edu Services Pvt Ltd,1,INR,1,n7etk5rc03,Stripe Shirt,2,0,Nos
,,,,,,n7etgt2deg,Girls Pant,2,0,Nos
,,,,,,n7ed37n65k,Sports Polo,1,0,Nos
,,,,,,n7ell9afke,Track Pant,1,0,Nos
,,,,,,n7enf86ljn,TSUSC1DS,3,0,Nos
,,,,,,n7ef3c5qkf,TSUSC1DV,1,0,Nos
,,,,,,n7eesde2pr,Navy and Red Bag L,1,0,Nos
,,,,,,n7e8ure262,TSUSC1EY,1,0,Nos
BOM-CAS LR CBSE Grade 8 Bookkit w/o StationeryFrench-001,CAS LR CBSE Grade 8 Bookkit w/o StationeryFrench,Inventre Edu Services Pvt Ltd,1,INR,1,kllsp53nq6,Grade 8 Mandate Textbook,1,0,Nos
,,,,,,kll2c8cv4m,CAS CBSE Grade 8 Textbook,1,0,Nos
,,,,,,kll3cm3fg3,CAS CBSE Grade 8 French,1,0,Nos
,,,,,,klljpbt9gm,CAS CBSE Grade 8 Notebook,1,0,Nos
,,,,,,kllg4ht67q,CAS LR CBSE Other,1,0,Nos
,,,,,,kllemt7j6m,CAS CBSE Program,1,0,Nos
BOM-CAS LR CBSE Grade 8 Bookkit w/o StationeryHindi-001,CAS LR CBSE Grade 8 Bookkit w/o StationeryHindi,Inventre Edu Services Pvt Ltd,1,INR,1,jsgpk6kmdq,Grade 8 Mandate Textbook,1,0,Nos
,,,,,,jsgd32tiro,CAS CBSE Grade 8 Textbook,1,0,Nos
,,,,,,jsgp70fcno,CAS CBSE Grade 8 Hindi,1,0,Nos
,,,,,,jsgbv989p6,CAS CBSE Grade 8 Notebook,1,0,Nos
,,,,,,jsgl0gd4ts,CAS LR CBSE Other,1,0,Nos
,,,,,,jsgftk0b8s,CAS CBSE Program,1,0,Nos
BOM-CAS LR CBSE Grade 7 Bookkit w/o StationeryFrench-001,CAS LR CBSE Grade 7 Bookkit w/o StationeryFrench,Inventre Edu Services Pvt Ltd,1,INR,1,iv0kpkigo4,Grade 7 Mandate Textbook,1,0,Nos
,,,,,,iv076g2sr1,CAS CBSE Grade 7 Textbook,1,0,Nos
,,,,,,iv0tngvl8f,CAS CBSE Grade 7 Notebook,1,0,Nos
,,,,,,iv0n5h0855,CAS CBSE Grade 7 French,1,0,Nos
,,,,,,iv0o7dsmlb,CAS LR CBSE Other,1,0,Nos
,,,,,,iv0d2di6qu,CAS CBSE Program,1,0,Nos
BOM-CAS LR CBSE Grade 7 Bookkit w/o StationeryHindi-001,CAS LR CBSE Grade 7 Bookkit w/o StationeryHindi,Inventre Edu Services Pvt Ltd,1,INR,1,i0grka5io1,Grade 7 Mandate Textbook,1,0,Nos
,,,,,,i0g7lpo2c0,CAS CBSE Grade 7 Textbook,1,0,Nos
,,,,,,i0g8bg5ihp,CAS CBSE Grade 7 Hindi,1,0,Nos
,,,,,,i0gjkatgqn,CAS CBSE Grade 7 Notebook,1,0,Nos
,,,,,,i0g443slkm,CAS LR CBSE Other,1,0,Nos
,,,,,,i0g10ebq4l,CAS CBSE Program,1,0,Nos
BOM-CAS LR CBSE Grade 6 Bookkit w/o StationeryFrench-001,CAS LR CBSE Grade 6 Bookkit w/o StationeryFrench,Inventre Edu Services Pvt Ltd,1,INR,1,e2fesvgivs,Grade 6 Mandate Textbook,1,0,Nos
,,,,,,e2fpfhinof,CAS CBSE Grade 6 Textbook,1,0,Nos
,,,,,,e2fnf31mqs,CAS CBSE Grade 6 French,1,0,Nos
,,,,,,e2fpqap14b,CAS CBSE Grade 6 Notebook,1,0,Nos
,,,,,,e2fildvpd9,CAS LR CBSE Other,1,0,Nos
,,,,,,e2fjob6btc,CAS CBSE Program,1,0,Nos
BOM-CAS LR CBSE Grade 6 Bookkit w/o StationeryHindi-001,CAS LR CBSE Grade 6 Bookkit w/o StationeryHindi,Inventre Edu Services Pvt Ltd,1,INR,1,d4hv9cdnu8,Grade 6 Mandate Textbook,1,0,Nos
,,,,,,d4hc3oitmr,CAS CBSE Grade 6 Textbook,1,0,Nos
,,,,,,d4hfp3dun5,CAS CBSE Grade 6 Notebook,1,0,Nos
,,,,,,d4hllc6sfa,CAS CBSE Grade 6 Hindi,1,0,Nos
,,,,,,d4hrh6visg,CAS LR CBSE Other,1,0,Nos
,,,,,,d4hncg9qfh,CAS CBSE Program,1,0,Nos
BOM-CAS LR CBSE Grade 5 Bookkit w/o StationeryHindi-001,CAS LR CBSE Grade 5 Bookkit w/o StationeryHindi,Inventre Edu Services Pvt Ltd,1,INR,1,u1ughkhpm4,Grade 5 Mandate Textbook,1,1679.54,Nos
,,,,,,u1ubon2suk,CAS CBSE Grade 5 Textbook,1,0,Nos
,,,,,,u1ukbt2hjm,CAS CBSE Grade 5 Hindi,1,0,Nos
,,,,,,u1uuhi7855,CAS CBSE Grade 5 Notebook,1,0,Nos
,,,,,,u1ug0ot6kj,CAS LR CBSE Other,1,0,Nos
BOM-CAS LR CBSE Grade 5 Bookkit w/o StationeryFrench-001,CAS LR CBSE Grade 5 Bookkit w/o StationeryFrench,Inventre Edu Services Pvt Ltd,1,INR,1,t059jel4rm,Grade 5 Mandate Textbook,1,1679.54,Nos
,,,,,,t058bsahu4,CAS CBSE Grade 5 Textbook,1,0,Nos
,,,,,,t05dmbkei1,CAS CBSE Grade 5 French,1,0,Nos
,,,,,,t05g51omil,CAS CBSE Grade 5 Notebook,1,0,Nos
,,,,,,t05uh1uei4,CAS LR CBSE Other,1,0,Nos
BOM-CAS LR CBSE Grade 4 Bookkit w/o Stationery-001,CAS LR CBSE Grade 4 Bookkit w/o Stationery,Inventre Edu Services Pvt Ltd,1,INR,1,rokm87gdh9,Grade 4 Mandate Textbook,1,1578.82,Nos
,,,,,,rok4ufqhre,CAS CBSE Grade 4 Textbook,1,0,Nos
,,,,,,rokco4derl,CAS CBSE Grade 4 Notebook,1,0,Nos
,,,,,,rokq7dagqs,CAS LR CBSE Other,1,0,Nos
BOM-CAS LR CBSE Grade 3 Bookkit w/o Stationery-001,CAS LR CBSE Grade 3 Bookkit w/o Stationery,Inventre Edu Services Pvt Ltd,1,INR,1,m8cbphraua,Grade 3 Mandate Textbook,1,1731.98,Nos
,,,,,,m8cctr9c2k,CAS CBSE Grade 3 Textbook,1,0,Nos
,,,,,,m8cil3sq88,CAS CBSE Grade 3 Notebook,1,0,Nos
,,,,,,m8cb95gnca,CAS LR CBSE Other,1,0,Nos
BOM-CAS LR CBSE Grade 2 Bookkit w/o Stationery-001,CAS LR CBSE Grade 2 Bookkit w/o Stationery,Inventre Edu Services Pvt Ltd,1,INR,1,l6oqiabplk,Grade 2 Mandate Textbook,1,1049.15,Nos
,,,,,,l6otbpahtr,CAS CBSE Grade 2 Textbook,1,0,Nos
,,,,,,l6ofg7t3ki,CAS CBSE Grade 2 Notebook,1,0,Nos
,,,,,,l6o37c1fis,CAS LR CBSE Other,1,0,Nos
BOM-CAS LR CBSE Grade 1 Bookkit w/o Stationery-001,CAS LR CBSE Grade 1 Bookkit w/o Stationery,Inventre Edu Services Pvt Ltd,1,INR,1,kgp24jo2ls,Grade 1 Mandate Textbook,1,989.33,Nos
,,,,,,kgpuhgq391,CAS CBSE Grade 1 Textbook,1,0,Nos
,,,,,,kgp47j2keq,CAS CBSE Grade 1 Notebook,1,0,Nos
,,,,,,kgp3oravhd,CAS LR CBSE Other,1,0,Nos
BOM-SMS Grade 6 Annual Kit Girls-001,SMS Grade 6 Annual Kit Girls,Inventre Edu Services Pvt Ltd,1,INR,1,ttuttsg1m5,SMS Grade 6 Bookkit,1,0,Nos
,,,,,,ttun05hh1k,SMS Grade 6 Girls Pant,1,0,Nos
BOM-SMS Grade 6 Annual Kit Boys-001,SMS Grade 6 Annual Kit Boys,Inventre Edu Services Pvt Ltd,1,INR,1,tin6v2kmp1,SMS Grade 6 Bookkit,1,0,Nos
,,,,,,tinf6nacmc,SMS GRADE 6 Boys Pant,1,0,Nos
BOM-SMS Grade 6 Girls Pant-001,SMS Grade 6 Girls Pant,Inventre Edu Services Pvt Ltd,1,INR,1,oc6p7f6283,SMS Grade 6 Girls Pant,1,0,Nos
BOM-SMS GRADE 6 Boys Pant-001,SMS GRADE 6 Boys Pant,Inventre Edu Services Pvt Ltd,1,INR,1,nlapnjecoh,SMS GRADE 6 Boys Pant,1,0,Nos
BOM-SMS Grade 9 BookkitHindi 2nd Lan Tel 3rd Lan-001,SMS Grade 9 BookkitHindi 2nd Lan Tel 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,siohjf41dn,Grade 9 Mandate Textbook,1,0,Nos
,,,,,,sionvb643v,SMS Grade 9 Hindi,1,0,Nos
,,,,,,siovs0mak7,SMS Grade 9 Notebook,1,0,Nos
,,,,,,sioletenpm,SMS Grade 8 Stationery,1,0,Nos
,,,,,,siopp66lfj,SMS Grade 9 Program,1,0,Nos
,,,,,,sio15ef2c1,SMS Other,1,0,Nos
BOM-SMS Grade 9 BookkitTelugu 2nd Lan Hin 3rd Lan-001,SMS Grade 9 BookkitTelugu 2nd Lan Hin 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,rp94mpfe6o,Grade 9 Mandate Textbook,1,0,Nos
,,,,,,rp9921crdb,SMS Grade 9 Telugu,1,0,Nos
,,,,,,rp9e4jr8bb,SMS Grade 9 Notebook,1,0,Nos
,,,,,,rp9ppih4cb,SMS Grade 9 Stationery,1,0,Nos
,,,,,,rp9mnbr0m9,SMS Grade 9 Program,1,0,Nos
,,,,,,rp97907bcf,SMS Other,1,0,Nos
BOM-SMS Grade 8 BookkitTelugu 2nd Lan Hin 3rd Lan-001,SMS Grade 8 BookkitTelugu 2nd Lan Hin 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,q6tbfljaj2,Grade 8 Mandate Textbook,1,0,Nos
,,,,,,q6tqguektj,SMS Grade 8 Telugu,1,0,Nos
,,,,,,q6tdo97pu9,SMS Grade 8 Notebook,1,0,Nos
,,,,,,q6topjjoqe,SMS Grade 8 Stationery,1,0,Nos
,,,,,,q6t0r9c60g,SMS Other,1,0,Nos
,,,,,,q6tv9ejj7p,SMS Program,1,0,Nos
BOM-SMS Grade 8 BookkitHindi 2nd Lan Tel 3rd Lan-001,SMS Grade 8 BookkitHindi 2nd Lan Tel 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,pe65528jfe,Grade 8 Mandate Textbook,1,0,Nos
,,,,,,pe6qcdhba4,SMS Grade 8 Hindi,1,0,Nos
,,,,,,pe6d5b78k9,SMS Grade 8 Notebook,1,0,Nos
,,,,,,pe6vqp6ep6,SMS Grade 8 Stationery,1,0,Nos
,,,,,,pe6p4sdc2p,SMS Other,1,0,Nos
,,,,,,pe6p7pop63,SMS Program,1,0,Nos
BOM-SMS Grade 7 BookkitTelugu 2nd Lan Hin 3rd Lan-001,SMS Grade 7 BookkitTelugu 2nd Lan Hin 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,opteacjv24,Grade 7 Mandate Textbook,1,0,Nos
,,,,,,optbkrs2i0,SMS Grade 7 Telugu,1,0,Nos
,,,,,,optp8n4loe,SMS Grade 7 Notebook,1,0,Nos
,,,,,,opt8h13ad1,SMS Grade 7 Stationery,1,0,Nos
,,,,,,opt1i44hhj,SMS Other,1,0,Nos
,,,,,,opt0413nef,SMS Program,1,0,Nos
BOM-SMS Grade 7 BookkitHindi 2nd Lan Tel 3rd Lan-001,SMS Grade 7 BookkitHindi 2nd Lan Tel 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,nah2g9kji5,Grade 7 Mandate Textbook,1,0,Nos
,,,,,,nahpjpqlrv,SMS Grade 7 Hindi,1,0,Nos
,,,,,,nahmo2fmis,SMS Grade 7 Notebook,1,0,Nos
,,,,,,nah89eu745,SMS Grade 7 Stationery,1,0,Nos
,,,,,,nahfqagus8,SMS Other,1,0,Nos
,,,,,,nahv61hhoh,SMS Program,1,0,Nos
BOM-SMS Grade 6 BookkitHindi 2nd Lan Tel 3rd Lan-001,SMS Grade 6 BookkitHindi 2nd Lan Tel 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,mgjun9svlv,Grade 6 Mandate Textbook,1,0,Nos
,,,,,,mgjba01563,SMS Grade 6 Hindi,1,0,Nos
,,,,,,mgj6qf9dhc,SMS Grade 6 Notebook,1,0,Nos
,,,,,,mgj7jegc4l,SMS Grade 6 Stationery,1,0,Nos
,,,,,,mgj93uv747,SMS Other,1,0,Nos
,,,,,,mgjhrhn380,SMS Program,1,0,Nos
BOM-SMS Grade 6 BookkitTelugu 2nd Lan Hin 3rd Lan-001,SMS Grade 6 BookkitTelugu 2nd Lan Hin 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,ktghvmcfgp,Grade 6 Mandate Textbook,1,0,Nos
,,,,,,ktgq7jfn5e,SMS Grade 6 Telugu,1,0,Nos
,,,,,,ktgkere7ge,SMS Grade 6 Notebook,1,0,Nos
,,,,,,ktgj0bul1j,SMS Grade 6 Stationery,1,0,Nos
,,,,,,ktglc9nir2,SMS Other,1,0,Nos
,,,,,,ktgovpag6j,SMS Program,1,0,Nos
BOM-SMS Grade 5 BookkitHindi 2nd Lan Tel 3rd Lan-001,SMS Grade 5 BookkitHindi 2nd Lan Tel 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,k81ufijv6s,Grade 5 Mandate Textbook,1,1679.54,Nos
,,,,,,k8128vghmi,SMS Grade 5 Hindi,1,0,Nos
,,,,,,k81k1ilhc8,SMS Grade 5 Notebook,1,0,Nos
,,,,,,k81vos3n5f,SMS Grade 5 Stationery,1,0,Nos
,,,,,,06ubvquriq,SMS Other,1,0,Nos
,,,,,,06uivlhgkr,SMS Program,1,0,Nos
BOM-SMS Grade 5 BookkitTelugu 2nd Lan Hin 3rd Lan-001,SMS Grade 5 BookkitTelugu 2nd Lan Hin 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,jdfdccfn8p,Grade 5 Mandate Textbook,1,1679.54,Nos
,,,,,,jdfs379921,SMS Grade 5 Telugu,1,0,Nos
,,,,,,jdfqq070tg,SMS Grade 5 Notebook,1,0,Nos
,,,,,,jdfk9b7qut,SMS Grade 5 Stationery,1,0,Nos
,,,,,,jdftff6vge,SMS Other,1,0,Nos
,,,,,,jdfmmsaupl,SMS Program,1,0,Nos
BOM-SMS Grade 4 BookkitHindi 2nd Lan Tel 3rd Lan-001,SMS Grade 4 BookkitHindi 2nd Lan Tel 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,infa8h0tcr,Grade 4 Mandate Textbook,1,1578.82,Nos
,,,,,,inf4hituft,SMS Grade 4 Hindi,1,0,Nos
,,,,,,infvf1lj5d,SMS Grade 4 Notebook,1,0,Nos
,,,,,,inf38c4bio,SMS Grade 4 Stationery,1,0,Nos
,,,,,,inftfl4otr,SMS Other,1,0,Nos
,,,,,,infip5l5oq,SMS Program,1,0,Nos
BOM-SMS Grade 4 BookkitTelugu 2nd Lan Hin 3rd Lan-001,SMS Grade 4 BookkitTelugu 2nd Lan Hin 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,i0lcss3o64,Grade 4 Mandate Textbook,1,1578.82,Nos
,,,,,,i0lsi7cbo4,SMS Grade 4 Telugu,1,0,Nos
,,,,,,i0ll8dcbbp,SMS Grade 4 Notebook,1,0,Nos
,,,,,,i0li1ccnh5,SMS Grade 4 Stationery,1,0,Nos
,,,,,,i0lvjt3iqi,SMS Other,1,0,Nos
,,,,,,i0lde996mb,SMS Program,1,0,Nos
BOM-SMS Grade 3 BookkitHindi 2nd Lan Tel 3rd Lan-001,SMS Grade 3 BookkitHindi 2nd Lan Tel 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,fo168oe49k,Grade 3 Mandate Textbook,1,1731.98,Nos
,,,,,,fo1752ff09,SMS Grade 3 Textbook,1,0,Nos
,,,,,,fo14nej2rk,SMS Grade 3 Hindi,1,0,Nos
,,,,,,fo1s2pr2oo,SMS Grade 3 Notebook,1,0,Nos
,,,,,,fo1t8mubgf,SMS Grade 3 Stationery,1,0,Nos
,,,,,,fo1qc4l7o5,SMS Program,1,0,Nos
,,,,,,fo17kb85fg,SMS Other,1,0,Nos
BOM-SMS Grade 3 BookkitTelugu 2nd Lan Hin 3rd Lan-001,SMS Grade 3 BookkitTelugu 2nd Lan Hin 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,dr0gn5j8ov,Grade 3 Mandate Textbook,1,1731.98,Nos
,,,,,,dr0l4qeggb,SMS Grade 3 Textbook,1,0,Nos
,,,,,,dr08sh6frd,SMS Grade 3 Telugu,1,0,Nos
,,,,,,dr0b3uv8bn,SMS Grade 3 Notebook,1,0,Nos
,,,,,,dr0a79c25n,SMS Grade 3 Stationery,1,0,Nos
,,,,,,dr08851qrj,SMS Program,1,0,Nos
,,,,,,dr0f5nctt6,SMS Other,1,0,Nos
BOM-SMS Grade 2 BookkitTelugu 2nd Lan Hin 3rd Lan-001,SMS Grade 2 BookkitTelugu 2nd Lan Hin 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,cpr41531ac,Grade 2 Mandate Textbook,1,1049.15,Nos
,,,,,,cprm8jbe5e,SMS Grade 2 Textbook,1,0,Nos
,,,,,,cprmt6mcmh,SMS Grade 2 Telugu,1,0,Nos
,,,,,,cpruvcf9a2,SMS Grade 2 Notebook,1,0,Nos
,,,,,,cprpesseo6,SMS Grade 2 Stationery,1,0,Nos
,,,,,,cpr3c688ft,SMS Other,1,0,Nos
BOM-SMS Grade 2 BookkitHindi 2nd Lan Tel 3rd Lan-001,SMS Grade 2 BookkitHindi 2nd Lan Tel 3rd Lan,Inventre Edu Services Pvt Ltd,1,INR,1,bljhld2u0t,Grade 2 Mandate Textbook,1,1049.15,Nos
,,,,,,bljbvhoij7,SMS Grade 2 Textbook,1,0,Nos
,,,,,,blj0t93mjv,SMS Grade 2 Hindi,1,0,Nos
,,,,,,blj9jtuobh,SMS Grade 2 Notebook,1,0,Nos
,,,,,,bljucfbqv4,SMS Grade 2 Stationery,1,0,Nos
,,,,,,bljgqb4n54,SMS Other,1,0,Nos
BOM-SMS Grade 2 Textbook-001,SMS Grade 2 Textbook,Inventre Edu Services Pvt Ltd,1,INR,1,abv0n8541b,Magic World Cursive Writing 2,1,93.5,Nos
BOM-SMS Grade 9 Program-001,SMS Grade 9 Program,Inventre Edu Services Pvt Ltd,1,INR,1,aemtfq6phq,Opendoor Thinking Assessment-SMS,1,480,Nos
BOM-SMS Program-001,SMS Program,Inventre Edu Services Pvt Ltd,1,INR,1,9rkpmfmpca,Opendoor Thinking Assessment-SMS,1,480,Nos
,,,,,,9rk3vng254,Yardstick Science Experience Kit,1,0,Nos
BOM-SMS Grade 9 Stationery-001,SMS Grade 9 Stationery,Inventre Edu Services Pvt Ltd,1,INR,1,6uhtjeqp3v,SMS Flat File,1,13.14,Nos
,,,,,,6uh2jbi45j,File Folder,10,4.45,Nos
,,,,,,6uhr7cc2se,A4 Size Colour Paper Packet (25 sheets),1,19.49,Nos
,,,,,,6uh843mhfo,Transparent Roll,2,33.9,Nos
,,,,,,6uh57e782b,SMS Label Sheet,2,4.24,Nos
,,,,,,6uha34dv2o,Poster Paint (6 Shades),1,50,Nos
,,,,,,6uhi9vidrb,"Flat Brushes - Size 1,3,5,6",1,88.75,Nos
,,,,,,6uhl406cuk,A4 Size Plain Sheets (25 sheets),1,18.64,Nos
BOM-SMS Grade 9 Notebook-001,SMS Grade 9 Notebook,Inventre Edu Services Pvt Ltd,1,INR,1,39h440uvda,Crown 200 pages Single ruled,12,38,Nos
,,,,,,39hi8ihjgn,Crown 200 pages Maths ruled,6,38,Nos
,,,,,,39hjtjf0e4,50 Pages Plain Drawing Book,1,26,Nos
,,,,,,39h8l2otlo,Long 50 Pages Graph Book,1,16,Nos
,,,,,,39h3bav3fk,200 Pages OSR Single Ruled Record Book,2,76,Nos
,,,,,,39hsb79342,100 Pages OSR Single Ruled Record Book,2,43,Nos
,,,,,,39h6bk4aug,Crown 100 pages Plain Book,1,20,Nos
BOM-SMS Grade 9 Telugu-001,SMS Grade 9 Telugu,Inventre Edu Services Pvt Ltd,1,INR,1,r5nm9sn9ve,Vennella 4,1,0,Nos
,,,,,,r5nkh39k1r,Vyakaran Jyothi,1,0,Nos
BOM-SMS Grade 9 Hindi-001,SMS Grade 9 Hindi,Inventre Edu Services Pvt Ltd,1,INR,1,pmi5bdtf4c,Sparsh Grade 9,1,0,Nos
,,,,,,pmib1h6ano,Sanchayan I,1,0,Nos
,,,,,,pmi49jb6e3,Anmol hindi Vyakaran thatha rachana - 9,1,0,Nos
,,,,,,rb1gf4j1ph,Vennella 4,1,0,Nos
BOM-SMS Grade 8 Stationery-001,SMS Grade 8 Stationery,Inventre Edu Services Pvt Ltd,1,INR,1,k6d9693jen,SMS Flat File,1,13.14,Nos
,,,,,,k6d2njmsj5,File Folder,10,4.45,Nos
,,,,,,k6dr4mkbem,A4 Size Colour Paper Packet (25 sheets),1,19.49,Nos
,,,,,,k6d0s9q8rl,Transparent Roll,2,33.9,Nos
,,,,,,k6ddsek0lu,SMS Label Sheet,2,4.24,Nos
,,,,,,k6dib0v8dc,Acrylic Colour Set,2,180,Nos
,,,,,,k6da6abg9a,Colour Pencils - Set of 12,1,59,Nos
,,,,,,k6d6bi7d6v,Poster Paint (6 Shades),1,50,Nos
