order_id,student_id
6f45994a-851f-4373-8aa4-4cb42505d49d,d5e6c18f-2873-47d3-8c6b-28bfe8fe005d
6970266a-d26b-4767-bfb8-9bf7038678d6,633f9899-25ab-4182-b6a1-5fbef6a2967d
b374dd81-f826-4f4e-8987-0765692a209e,f0d706c5-fc27-4e53-bfd0-ed2a8619466c
2b748e02-8688-47ad-9e47-dad7c464fd2e,3d61cf4e-3079-4ac9-b20d-9c07300712dc
6f699c07-437d-4cac-8a47-315ac08eecd7,05568b45-317b-47e7-915d-f31b1e92deeb
b3b18aae-916b-4cd7-999b-d46c6c3ebee1,6bc78b1e-b9d0-4c2b-ae2f-93349b1cdf0c
6f82561b-795e-4ab5-bc0a-74857dab5bad,111a977b-d735-41a5-836f-1b6c9255facc
39497970-1c97-489b-a538-85f2e0114a4e,a88a233c-9ae4-476a-9843-05ec1a754b12
6f96afc6-edc3-4fea-9352-ecc0b6796d9f,afda500f-f271-439b-a156-a94ebe8dfda0
6f9af7ec-2a99-4b9b-9e24-e486ed00d7ec,1ef4cf3d-4b80-4cb2-80a6-19a333402c21
f4780b12-e926-4d3c-8d9c-9dbc1218e42f,ddf9f00f-7674-41d6-8847-12ddf04d4527
b3d969f3-27eb-47fb-84cd-8b7d7231d179,920cd98b-e221-4acd-80f2-71174694d830
2ba15a8a-33ce-440f-9037-e87fb6e63813,6225f1b2-e811-4da8-9368-3707e29a34d9
f4d095de-2362-4891-b307-f2a7b21e45d4,1ef4cf3d-4b80-4cb2-80a6-19a333402c21
6fecc699-2dfd-4ac9-8961-3e106a338637,cfd6e739-20e7-455f-9ed9-803640405c05
ec9fc2d8-deb5-402c-b954-1aad0243af0f,4322726f-db85-4a07-81a2-3cd51a12af16
f4f0b143-d59b-4f31-8db5-640254076361,ac3207c1-1964-4d02-b933-799e3ba69071
b42cd53a-cd20-4be5-a845-6b5775cd4596,77ade05e-4b44-408b-ba1a-4843f5ec1e39
9175c8fb-5604-4ecb-96f1-92cdb13fb64b,692baec2-c3f9-4e23-8862-4a2573f624e5
b42ff407-8dce-4cbf-b22a-9cab05ed0da5,a5c5bef5-398a-437e-a74f-b8e7284a5f02
